month,year,month_of_year,sarajevo_temperature_celsius,bjelasnica_temperature_celsius
183,2015,4,9.7500,
184,2015,5,16.3200,
185,2015,6,18.2600,
186,2015,7,23.6000,
187,2015,8,22.8900,
188,2015,9,18.5200,
189,2015,10,11.9900,
190,2015,11,6.4700,
191,2015,12,-0.2800,
192,2016,1,1.2000,
193,2016,2,7.9400,
194,2016,3,6.6500,
195,2016,4,13.8500,
196,2016,5,14.4000,
197,2016,6,20.2900,
198,2016,7,21.9300,
199,2016,8,19.6000,
200,2016,9,16.6700,
201,2016,10,10.5700,
202,2016,11,6.5300,
203,2016,12,-0.5100,
204,2017,1,-4.5800,
205,2017,2,5.6600,
206,2017,3,9.1800,
207,2017,4,9.8800,
208,2017,5,15.7800,
209,2017,6,20.9000,
210,2017,7,22.0800,
211,2017,8,23.3100,
212,2017,9,16.3300,
213,2017,10,11.5000,
214,2017,11,5.9500,
215,2017,12,2.4500,
216,2018,1,4.6300,
217,2018,2,1.2600,
218,2018,3,5.7900,
219,2018,4,15.3800,
220,2018,5,17.5200,
221,2018,6,18.5500,
222,2018,7,20.7000,
223,2018,8,21.8600,
224,2018,9,17.5600,
225,2018,10,14.0300,
226,2018,11,8.3200,
227,2018,12,0.7900,
228,2019,1,-1.3300,
229,2019,2,3.3100,
230,2019,3,8.8000,
231,2019,4,11.8300,
232,2019,5,13.0300,
233,2019,6,21.6500,
234,2019,7,21.7000,
235,2019,8,22.7900,
236,2019,9,17.6000,
237,2019,10,14.3700,
238,2019,11,10.9600,
239,2019,12,3.6700,
240,2020,1,-0.1300,
241,2020,2,5.7800,
242,2020,3,7.4100,
243,2020,4,11.8600,
244,2020,5,15.0000,
245,2020,6,18.5900,
246,2020,7,20.9900,
248,2020,9,18.8700,
249,2020,10,12.7000,
251,2020,12,4.6800,
252,2021,1,1.5300,
253,2021,2,6.1400,
254,2021,3,5.5000,
255,2021,4,8.9700,
256,2021,5,16.2300,
257,2021,6,20.9300,
258,2021,7,23.9300,
259,2021,8,22.4100,
260,2021,9,17.6900,
261,2021,10,9.7300,
262,2021,11,7.4500,
263,2021,12,2.8800,
264,2022,1,-0.0900,
265,2022,2,4.9700,
266,2022,3,4.8900,
267,2022,4,10.1300,
268,2022,5,17.8000,
269,2022,6,22.7600,
270,2022,7,23.1000,
271,2022,8,21.8000,
272,2022,9,16.3700,
274,2022,11,7.6700,
275,2022,12,5.7000,
276,2023,1,3.0500,
277,2023,2,2.8600,
278,2023,3,7.9200,
279,2023,4,9.0100,
280,2023,5,15.1600,
281,2023,6,19.0300,
282,2023,7,23.6800,
283,2023,8,21.9900,
284,2023,9,19.7900,
285,2023,10,15.9800,
286,2023,11,7.4100,
287,2023,12,5.3000,
288,2024,1,2.4100,
290,2024,3,10.4300,
291,2024,4,13.5600,
292,2024,5,16.9800,
293,2024,6,22.5500,
294,2024,7,24.4500,
295,2024,8,25.0800,
296,2024,9,17.8700,
297,2024,10,14.8800,
298,2024,11,4.4000,
299,2024,12,1.5100,
317,2026,6,20.9100,
318,2026,7,21.4200,
